Name,Direction,Size_pct,Notional_M,Spread_bps,DV01,Signed_DV01,CS01,JTD,RPV01,Carry_pa,PD_5Y,StressPnL_-50bp,StressPnL_+100bp,StressPnL_+200bp
CECONOMY,SHORT,5.0,25.0,64,11269,-11269,11269,-14980000,4.5075,+160000,5.19%,+574934,-1082737,-2081856
Kaixo Bondco,SHORT,5.0,25.0,50,11333,-11333,11333,-14984375,4.5330,+125000,4.08%,+566415,-1088773,-2093293
INEOS Quattro,LONG,2.0,10.0,1224,2937,+2937,2937,+5847000,2.9369,-1224000,63.94%,-149351,+284044,+549717
Worldline,LONG,2.0,10.0,1027,3142,+3142,3142,+5871625,3.1417,-1027000,57.51%,-159853,+303525,+586794
Sunrise HoldCo,SHORT,4.5,22.5,75,10097,-10097,10097,-13478906,4.4876,+168750,6.06%,+515140,-970224,-1865638
Syngenta,SHORT,4.0,20.0,90,8921,-8921,8921,-11977500,4.4607,+180000,7.23%,+455134,-857319,-1648676
Cirsa Finance,SHORT,3.5,17.5,200,7472,-7472,7472,-10456250,4.2697,+350000,15.35%,+381071,-718494,-1382586
INEOS Finance,LONG,1.5,7.5,908,2457,+2457,2457,+4414875,3.2757,-681000,53.08%,-125044,+237195,+458261
Eutelsat,SHORT,3.0,15.0,106,6648,-6648,6648,-8980125,4.4322,+159000,8.45%,+339154,-638941,-1228836
Sherwood Financing,LONG,1.5,7.5,585,2763,+2763,2763,+4445156,3.6836,-438750,38.58%,-140742,+266245,+513458
PORTFOLIO TOTAL,NET SHORT,32.0,160.0,,67038,-44442,67038,95435812,,-2228000,,+2256859,-4265479,-8192654
